                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
82,1.0836,0.79535,1.2119,1.1806,0.97566,1.2306,0.88866,0.79906,0.88901,0.62841,1.065,0.6507,1.186,1.1336,0.70335,1.2079,0.000416,0.000416,0.000416
83,1.0786,0.79027,1.2099,1.1773,0.95549,1.2303,0.88607,0.79778,0.8887,0.62748,1.0639,0.64948,1.1879,1.1349,0.7056,1.2105,0.0003962,0.0003962,0.0003962
84,1.0745,0.77418,1.2019,1.173,0.93667,1.2209,0.89007,0.81838,0.89501,0.63574,1.0558,0.63752,1.1839,1.1275,0.67454,1.2091,0.0003764,0.0003764,0.0003764
85,1.0662,0.77884,1.2097,1.1614,0.94236,1.2267,0.88886,0.81444,0.89597,0.63666,1.0534,0.63519,1.1806,1.1281,0.68238,1.2041,0.0003566,0.0003566,0.0003566
86,1.0661,0.77683,1.2015,1.1585,0.94184,1.2163,0.88408,0.81938,0.89686,0.64075,1.0465,0.62957,1.1714,1.1173,0.67982,1.1909,0.0003368,0.0003368,0.0003368
87,1.0507,0.75754,1.1944,1.1449,0.90835,1.2096,0.89661,0.82079,0.90093,0.64318,1.04,0.62261,1.1711,1.1079,0.66675,1.1896,0.000317,0.000317,0.000317
88,1.05,0.76192,1.1943,1.1491,0.919,1.2125,0.90576,0.81417,0.90128,0.64308,1.0415,0.62165,1.1705,1.1128,0.6601,1.1916,0.0002972,0.0002972,0.0002972
89,1.0439,0.7595,1.1946,1.1404,0.92019,1.2145,0.90488,0.81888,0.90195,0.64614,1.0359,0.61656,1.1678,1.1063,0.65505,1.1865,0.0002774,0.0002774,0.0002774
90,1.0495,0.76547,1.1984,1.1459,0.92861,1.2137,0.9038,0.81392,0.902,0.64569,1.0361,0.61442,1.1674,1.1081,0.65418,1.1855,0.0002576,0.0002576,0.0002576
91,0.99351,0.62596,1.1636,1.0701,0.68359,1.1826,0.89618,0.81615,0.90131,0.64475,1.0366,0.62155,1.1645,1.1023,0.6604,1.1841,0.0002378,0.0002378,0.0002378
92,0.96077,0.59166,1.1403,1.0351,0.63558,1.159,0.90316,0.81789,0.90431,0.64537,1.0291,0.61457,1.1628,1.0999,0.65332,1.1837,0.000218,0.000218,0.000218
93,0.94184,0.57037,1.1282,1.0236,0.60989,1.1484,0.90594,0.82097,0.9063,0.6513,1.0185,0.60449,1.1564,1.0887,0.63769,1.1761,0.0001982,0.0001982,0.0001982
94,0.92307,0.56292,1.1154,0.9946,0.60158,1.1341,0.91527,0.81367,0.90755,0.65324,1.013,0.598,1.1517,1.0849,0.63046,1.172,0.0001784,0.0001784,0.0001784
95,0.91855,0.55064,1.1103,0.99302,0.58103,1.1304,0.91372,0.81866,0.90759,0.65633,1.0076,0.59461,1.1459,1.0732,0.63567,1.1647,0.0001586,0.0001586,0.0001586
96,0.92152,0.5534,1.1123,0.99813,0.59146,1.1307,0.90543,0.8279,0.90883,0.65773,1.0066,0.59112,1.1465,1.0744,0.62688,1.1661,0.0001388,0.0001388,0.0001388
97,0.91625,0.55382,1.1116,0.98698,0.58972,1.1305,0.90611,0.82854,0.90799,0.65808,1.002,0.58812,1.1437,1.0682,0.62714,1.1631,0.000119,0.000119,0.000119
98,0.90497,0.54119,1.1036,0.97641,0.57252,1.1204,0.90229,0.83285,0.91034,0.66015,0.9979,0.5856,1.141,1.0652,0.62112,1.1585,9.92E-05,9.92E-05,9.92E-05
99,0.8908,0.53525,1.0964,0.96223,0.56959,1.1142,0.90784,0.83028,0.91091,0.66061,0.99497,0.58382,1.1384,1.064,0.62096,1.1592,7.94E-05,7.94E-05,7.94E-05
100,0.89287,0.53194,1.0967,0.96297,0.56254,1.1135,0.9085,0.83149,0.91196,0.66185,0.99501,0.58198,1.1393,1.0611,0.61891,1.1569,5.96E-05,5.96E-05,5.96E-05
